,index,City,Location,Job,Company,Summary,Salary,Salary_Class
140,3159,Denver,"Denver, CO",Software Asset Management Analyst - Denver International Airport,City and County of Denver,"Baccalaureate Degree in Computer Science, Information Systems, Business Administration, Mathematics or a related field....",92906.0,1
141,3175,Denver,"Denver, CO 80202 (Lodo area)","Business Liaison, Shipper Services",Black Hills Corporation,"Bachelor degree in Business, Management Information Systems, Computer Science, Information Technology. Assist Gas Scheduling team in diagnosing and resolving...",71875.0,0
142,3204,Denver,"Aurora, CO",BI Developer,University of Colorado,"In-depth knowledge of relational databases, OLAP query tools, data mining, data structure, and data manipulation techniques....",57083.0,0
143,3263,Denver,"Denver, CO",Fiscal Officer (#236),State of Colorado Job Opportunities,"The ability to synthesize, interpret, and report on complex or technical information, collect and research data;...",73986.0,1
144,3281,Denver,"Boulder, CO",Environmental Manager,University of Colorado,"Wildlife biology, environmental science, policy, or engineering, sustainable. The University of Colorado Boulder....",68250.0,0
145,3322,Denver,"Denver, CO",Senior Software Engineer,Colorado Office of the State Court Administrator,"Graduation from an accredited college or university with a bachelor’s degree in computer science, programming or related field and four years of relevant work...",117252.0,1
146,3325,Denver,"Aurora, CO",Academic Affairs Coordinator,University of Colorado,"A Health Sciences Library; A national leader in health care and life sciences,. Enter and/or update position data in HCM and CU Careers....",58500.0,0
147,3332,Denver,"Greenwood Village, CO 80111",Helpdesk 1,Digital323,"College Graduate with Computer Science emphasis preferred A+ Certification, Network+ Certification Preferred Technical Skills:....",40000.0,0
148,3354,Denver,"Aurora, CO",Oracle Fusion Middleware Engineer,Harvey Nash,In Computer Science or similar; Experience in data mapping - both transformation and translation. Solid testing and validation skills and understanding of...,137500.0,1
149,3358,Denver,"Aurora, CO","Academic Program Support Specialist, SPSS (January/February 2017)",Community College of Aurora,"Degree or professional experience in academic disciplines and career fields related to the School’s departments (Business, Colorado Film School, Computer and...",40000.0,0
150,3365,Denver,"Denver, CO",IRB Panel Coordinator,University of Colorado,A master’s degree in science or. And data entry according to federal regulatory requirements and COMIRB. Are accepted electronically ONLY at....,42738.0,0
151,3380,Denver,"Denver, CO","CORR'L, YOUTH, OR CLINICAL SECURITY OFFICER I - GILLIAM",State of Colorado Job Opportunities,"Ability to maintain accurate written and electronic records, including activity logs and entries in the offender electronic data system....",50322.0,0
152,3448,Los+Angeles,"Los Angeles, CA",Statistician II,USC,"Supervises data entry/programming staff. Computer Science, Statistics or Engineering; In a relevant discipline (computer science, statistics, engineering, etc.)...",78124.5,1
153,3472,Los+Angeles,"Los Angeles, CA",PRINCIPAL INFORMATION SYSTEMS ANALYST / DATA INTEGRATION ARCHITECTURE,Los Angeles County Department of Human Resources,Performing data integration architecture****. ***Data Integration Architecture involves combining data residing in different disparate (heterogeneous) sources...,108648.0,1
154,3487,Los+Angeles,"Los Angeles, CA","RESEARCH ANALYST III, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,Devises data processing procedures that make use of high speed computers and work with computer personnel in the programming and processing of data....,79758.5,1
155,3513,Los+Angeles,"Los Angeles, CA",Executive Director - Office of Data and Accountability,Los Angeles Unified School District,"Data derived from. Developing protocols for the release of student data to ensure data. And data science, and will keep abreast of emerging technology in this....",136500.0,1
156,3555,Los+Angeles,"Los Angeles, CA",ADMINISTRATIVE SUPPORT ASSISTANT,"California State University, Los Angeles","Use computer technology to access data, maintain records generate reports and communicate with other; ADMINISTRATIVE SUPPORT ASSISTANT II, #160257....",39954.0,0
157,3573,Los+Angeles,"Los Angeles, CA",CHILD WELFARE SPECIALIST 3,Louisiana State Government,"Work in multiple data systems to gather information related to calls received. Family and consumer sciences with a concentration in child, family and social...",52620.0,0
158,3598,Los+Angeles,"Santa Monica, CA",SCADA Systems Analyst,City of Santa Monica,Define test schedules and test data requirement for programs; Software systems administration and systems and data analysis;...,107220.0,1
159,3599,Los+Angeles,"Torrance, CA",Administrative Assistant II,El Camino College,"Input and retrieve data in computer systems as required; Verify data for accuracy, completeness and compliance with established procedures;...",48408.0,0
160,3673,Los+Angeles,"Los Angeles, CA",NUCLEAR MEDICINE TECHNOLOGIST II,Los Angeles County Department of Human Resources,Performs data analysis of in-vivo tests. DESIRABLE QUALIFICATIONS Bachelor of Science in Nuclear Medicine Technology from an accredited*....,73239.0,1
161,3675,Los+Angeles,"Los Angeles, CA",BIOLOGIST 1-3,Louisiana State Government,"A baccalaureate degree in a biological science, marine science, environmental science, wildlife or fisheries management, animal science, or forestry....",44676.0,0
162,3676,Los+Angeles,"Long Beach, CA",Disability Support Services Specialist,Long Beach City College,"Read and interpret complex data, information and documents; Collect, evaluate and interpret appropriate and applicable data, either in statistical or narrative...",63708.0,0
163,3750,Los+Angeles,"Los Angeles, CA",ENGINEERING ASSOCIATE (WAYSIDE SYSTEMS),Los Angeles County Metropolitan Transportation Aut...,"Compile and analyze complex data. Compiles and analyzes data for engineering projects; Bachelor's degree - Engineering, Electronics, Computer Science, or other...",67371.0,0
164,3752,Los+Angeles,"Van Nuys, CA",Solutions Architect,Strategic IT Staffing,"Experience working with Payment Card Industry Data Security Standard (PCI DSS). Familiarity with generating and manipulating common data formats, including CSV,...",90000.0,1
165,3768,Los+Angeles,"Los Angeles, CA",AGRICULTURAL/WEIGHTS AND MEASURES INSPECTOR I,Los Angeles County Department of Human Resources,"Agricultural science, biological science, chemical science, physical science, mathematics, and/or statistics**....",55522.0,0
166,3786,Los+Angeles,"Diamond Bar, CA 91765",Air Quality Specialist (RECLAIM Administration),South Coast Air Quality Management District,"Analyzing data and preparing RECLAIM reports. Compile, analyze, and interpret technical air quality data; Prepares graphs, charts, and statistical summaries...",90618.0,1
167,3807,Los+Angeles,"Los Angeles, CA",HYDROGRAPHER,"City of Los Angeles, CA","Safety Focus including the content and purpose of Material Safety Data Sheets (MSDSs); A Hydrographer gathers, records, and compiles hydrographic and...",80429.5,1
168,3945,San+Jose,"San Jose, CA 95113 (Downtown area)",Data Scientist - Growth Team (Healthcare Startup),Jobspring Partners,"BS / MS / PhD in a quantitative discipline (applied mathematics, statistics, computer science, etc.). Our client is a mature Series-C startup in the healthcare...",155000.0,1
169,3966,San+Jose,"San Jose, CA",Senior Management Information Systems Analyst,Santa Clara Valley Medical Center,Detailed health care financial and data reporting requirements; Methods for protecting security and confidentiality of system data;...,109315.5,1
170,4017,San+Jose,"San Jose, CA 95134 (North San Jose area)",Quality Assurance & Warranty Specialist,Santa Clara Valley Transportation Authority,Application of statistical methods and quality cost data analysis; Assists in administering a quality-management computer database system ensuring the integrity...,89414.0,1
171,4023,San+Jose,"Stanford, CA 94305",The Networked Improvement Fellowship,Carnegie Foundation for the Advancement of Teachin...,"Middle grades science. This will include a mix of improvement science, network initiation and development, and facilitation skill development....",95317.0,1
172,4074,San+Jose,"San Jose, CA",Business Information Technology Consultant,County-Wide Recruitment,"Three (3) years experience in the field of systems analysis, systems engineering, programming, data analysis, or database administration....",127813.0,1
173,4083,San+Jose,"San Jose, CA",Business Information Technology Consultant,County of Santa Clara,"Three (3) years experience in the field of systems analysis, systems engineering, programming, data analysis, or database administration....",127813.0,1
174,4094,San+Jose,"San Jose, CA 95113 (Downtown area)",Big Data Engineer,Jobspring Partners,"In Computer Science, Engineering or related. Drawing on your depth of knowledge of the Hadoop ecosystem and data analytics you’ll be responsible for solving...",155000.0,1
175,4171,San+Jose,"Santa Clara, CA",Parks Trail Specialist,Parks & Recreation,"Monitors, tracks, records and documents trail assessment and user survey data; Conducting field surveys and documenting, trail issues and recommending...",61784.0,0
176,4313,San+Jose,"San Jose, CA",Intelligence Analyst,G4S,"Bachelor's Degree in a variety of fields such as criminology, political science, international studies, national security, history, geography, remote sensing,...",52000.0,0
177,4329,San+Diego,"San Diego, CA",Cmptl and Data Sci Rsch Spec 4,UC San Diego,"Employs data engineering and algorithmic methods in solutions to data science problems. HPC, data science infrastructure and tools/software, and diverse domain...",74650.0,1
178,4336,San+Diego,"San Diego, CA",Corporate Engagement Research Analyst,UC San Diego,"Substantial experience developing and maintaining database systems using appropriate software applications in order to conduct data analytics, e.g, perform...",56000.0,0
179,4339,San+Diego,"City of Poway, CA",INFORMATION TECHNOLOGY ANALYST - Applica...,"City of Poway, CA","Provides data analysis on data issues. A Bachelor's Degree or equivalent education (i.e., minimum completed California units = 120 semester/180 quarter) from an...",76176.0,1
180,4352,San+Diego,"San Diego, CA",Analyst/ Programmer 12C,San Diego State University,Knowledge of data administration principles and data modeling concepts. Knowledge of formal data flow analysis methodologies....,79644.0,1
181,4360,San+Diego,"San Diego, CA",System Administrator,UC San Diego,"Bachelor’s degree in Computer Science, or comparable combination of education and experience. Must possess experience with computer interface media, data...",55620.0,0
182,4387,San+Diego,"San Diego, CA",Air Pollution Control Aide-17384603,County of San Diego,"College or university, or a certified foreign studies equivalency including at least ten (10) units of coursework in physical or life science, mathematics or...",43368.0,0
183,4397,San+Diego,"San Diego, CA","6289 SEC Research Technician (Research Technician II), SDSU I (6289)",California State University,"Compilation, and analysis of data. Graduate study in the social sciences, economics, mathematics, statistics, public or business administration or engineering...",29292.0,0
184,4423,San+Diego,"San Diego, CA",Applications Programmer 3,UC San Diego,"Ideally, demonstrates domain-specific knowledge in engineering and cognitive science, as well as practical familiarity with brain imaging using...",74100.0,1
185,4440,San+Diego,"San Diego, CA",6301 International Admissions Advisor (Student Services Profe (6301),California State University,Utilize Hobson’s CRM to collect and manage student and counselor data. Equivalent to graduation from a four-year college or university in one of the behavioral...,56058.0,0
186,4479,San+Diego,"El Cajon, CA 92020",PROGRAM SPECIALIST - CAFYES,Grossmont/Cuyamaca Community College District,To enter and retrieve data efficiently and effectively; Perform a variety of specialized and complex clerical and technical duties independently in support of...,48300.0,0
187,4520,San+Diego,"San Diego, CA",Director of Student Attendance and Discipline Certificated Staff,Poway Unified,"April 2017 15250 Avenue of Science, San Diego, California 92128. Must possess the ability to collect and use data to drive processes and....",121602.0,1
188,4581,San+Diego,"Chula Vista, CA",Technology Specialist for Accessibility and Compliance,Southwestern College,Collect data and compile reports; Bachelor’s degree in computer science or related technical field and three years of experience in that includes researching...,77556.0,1
189,4587,San+Diego,"San Diego, CA 92112",Senior Environmental Specialist (Limited...,Port of San Diego,"Collect, evaluate and interpret appropriate and applicable data, either in statistical or narrative form....",92511.0,1
190,4605,San+Diego,"San Diego, CA",Associate Computational Biologist,UC San Diego,"A Bachelor’s Degree in Biology, Mathematics, Statistics, Computer Science, Physical Sciences or a related field....",54282.0,0
191,4617,San+Diego,"San Diego, CA",Workday Support Analyst,TEKSystems,Help maintain data integrity in systems by proactively running queries and analyzing data.  Works with the Data team for integrations into other applications...,112500.0,1
192,4710,San+Diego,"San Diego, CA","6276 Admissions Counselor (Student Services Professional II), En (6276)",California State University,"Equivalent to graduation from a four-year college or university in one of the behavioral sciences, public or business administration or a job-related field....",56058.0,0
193,4713,San+Diego,"San Diego, CA",6275 Visualization Lab Coordinator (Information Technology Consu (6275),California State University,"In Computational Science preferred. Clear understanding of Computational Science. For more information regarding the Computational Sciences Research Center,...",42162.0,0
194,4742,San+Diego,"San Diego, CA",Bilingual Research Assistant,Harder+Company Community Research,"Enter data, prepare and label SPSS data files for analysis and reporting. Entering, coding, and analyzing data;...",44999.5,0
195,4779,Minneapolis,"Minneapolis, MN",Full Time Opp for Big Data Engineers in MN,Infraspace Technology Corp.,Data products and technologies. Of the big data ecosystem. Massive data sets from numerous channels. Data / BI Engineer you will work on multiple projects...,117500.0,1
196,4820,Minneapolis,"Minneapolis, MN",ForeverWell Specialist,YMCA,Degree in Health and Science or related field. The ForeverWell Specialist provides direction to a comprehensive research project for ForeverWell (older adults)...,54000.0,0
197,4870,Minneapolis,"Minneapolis-Saint Paul, MN",Administrative Assistant IHI and BPIC,University of Minnesota,"Enter and prepare data and update databases. Experience in an academic setting, preferably related to health sciences....",38521.5,0
198,4904,Minneapolis,"Saint Paul, MN",Data Security Manager,Saint Paul Public Schools,"Data Quality Assurance. A minimum of 5 years of progressively responsible experience in computing, data security, data quality management, data testing or a...",78413.0,1
199,4906,Minneapolis,"Minneapolis, MN 55403 (Loring Park area)",Information Technology Instructor - UFT ...,Minneapolis Community and Technical College,"Master's Degree in Computer Science, MIS or a comparable computer field. Computer hardware and software maintenance and help-desk, data communication and...",57601.0,0
200,4911,Minneapolis,"Shoreview, MN",Asst to the City Manager,"City of Shoreview, MN","Experience with elections, data practices and records retention. Manage projects including gather information, conduct research, data analysis, write reports,...",73944.0,1
201,4972,Minneapolis,"Saint Louis Park, MN",Network Administrator,"City of St. Louis Park, MN",Fulfill data practices requests. Experience working with shared resources data center vendor. Responsible for data integrity and security in accordance with...,83191.5,1
202,5113,Minneapolis,"Coon Rapids, MN",Senior Systems Administrator - Information Technology Specialist 4,Anoka-Ramsey Community College,"Bachelor's Degree in IT, Computer Science, or related field. Five years of lead systems administrator experience managing complex data center operations...",79782.5,1
203,5135,Minneapolis,"Maple Grove, MN",Project Coordinator,Doherty Staffing Solutions,"Utilizing both historical data and data gathered from departments, develop and maintain accurate internal schedules for all current projects and Technical...",65000.0,0
204,5159,Minneapolis,"Minneapolis, MN 55440 (North Loop area)",Senior Data BI Hadoop Engineer,Meadows Group,Big Data BI data and architectural skills Hadoop experience. Data / BI Engineer you will work on multiple projects involving highly scalable and extensible data...,121000.0,1
205,5215,Minneapolis,"Minneapolis, MN",Quality Assurance (QA) Manager - Growing Food Manufacturer!,ALbert Energy,Bachelor’s degree in Food Science or related field. This leadership position must communicate with both internal and external customers and utilize a strong SPC...,90000.0,1
206,5233,Sacramento,"Davis, CA",TECHNICAL LEAD/ANALYST,"University of California, Davis",IT background including a Bachelor's degree in Computer Science or related discipline or equivalent combination of training and experience....,109200.0,1
207,5239,Sacramento,"El Dorado Hills, CA 95762",Behavior Analyst III / Board Behavior Analyst (BCBA),Buckeye Union School District," Works with special education staff in developing data collection systems, monitoring data collection and....",100116.0,1
208,5242,Sacramento,"Sacramento, CA",Information Technology Consultant - Career (IT Business Analyst) (101924),California State University,"This foundation would normally be obtained through a bachelor¿s degree in computer science, information systems, educational technology, communications, or...",63732.0,0
209,5266,Sacramento,"Davis, CA",ASSOCIATE CHIEF INFORMATION OFFICER,UC Davis,"Implementing security and operational requirements and standards, overseeing ongoing system, network and data center operations;...",175000.0,1
210,5324,Sacramento,"Davis, CA",HEALTH AND BIOLOGICAL SCIENCES CAREER ADVISER,"University of California, Davis","With the Health and Biological Sciences team, administers the quarterly Health-Related Internship program (HRI)....",70704.0,0
211,5335,Sacramento,"Carmichael, CA 95608",Microcomputer Specialist I - Technology Services,San Juan Unified School District,Work in Data Processing/Computer Science and two years of. And data processing employees; Assists with mainframe data file applications and....,59370.0,0
212,5370,Sacramento,"Mather, CA 95655",Certified Nurse Practitioner (CNP) - Mental Health - Mather,Department Of Veterans Affairs,OR a Bachelor's of Science in Nursing (BSN) with no additional nursing practice/experience. Evaluates and interprets medical data to formulate a plan of care...,106919.0,1
213,5383,Sacramento,"Elk Grove, CA",Program Specialist - Curriculum and Professional Learning (Curriculum and Professional Learning) Certificated Staff,Elk Grove Unified School District,"Valid CA teaching credential, dedicated Science experience preferred. Conduct research and compile and verify data....",94073.0,1
214,5433,Sacramento,"McClellan, CA","Senior/Staff DevOps Engineer - McClellan, CA","SmartSource, Inc","Responsible for data backup integrity and failover / fallback strategies. Bachelor’s degree in computer science, computer engineering or equivalent prior work...",110000.0,1
215,5438,Sacramento,"El Dorado Hills, CA",Sr. Application operations engineer,BRAINHUNTER SYSTEMS LTD.,"Experience with supporting WebSphere MQ version 7.0 and above, Data Power appliance. Bachelor’s degree in Computer Engineering or Computer Science or equivalent...",80000.0,1
216,5469,Portland,"Portland, OR",Sr. Research Assistant,Oregon Health & Science University,Oregon Health & Science University values a diverse and culturally competent workforce. RA will train in basic phlebotomy and process and ship specimens...,51969.0,0
217,5480,Portland,"Portland, OR",YARDI System Administrator and Trainer,REACH CDC,"Minimum of two (2) years of experience of support in YARDI • Bachelor’s degree in Accounting, Computer Science, or equivalent work experience....",54178.5,0
218,5493,Portland,"Portland, OR",Program Manager (Research Associate),Oregon Health & Science University,"Oregon Health & Science University values a diverse and culturally competent workforce. Master's degree in a behavioral or social science area, public health or...",50000.0,0
219,5503,Portland,"Portland, OR",Project Coordinator (Sr Research Assistant),Oregon Health & Science University,"Research components will include coordinating IRB submissions, overseeing data collection and management at the five sites, and data entry....",33674.0,0
220,5523,Portland,"Portland, OR","Data Scientist - Machine Learning, NLP",WSI Nationwide,Experience as a Data Scientist. Strong analytical skills and comfortable working with large data sets and ability to transform data into actionable insights....,142500.0,1
221,5541,Portland,"Portland, OR",Postdoctoral Scholar,Oregon Health & Science University,"Oregon Health & Science University values a diverse and culturally competent workforce. John Crabbe, Department of Behavioral Neuroscience at Oregon Health &...",47484.0,0
222,5575,Portland,"Vancouver, WA",Tenure-Track Computer Science and Engineering Instructor,Clark College,College-level teaching experience in Computer Science or Computer/Electrical Engineering. Master's degree in Computer Science or Computer/Electrical Engineering...,50000.0,0
223,5648,Portland,"Wilsonville, OR",Stormwater Management Coordinator,"City of Wilsonville, OR","Input data into appropriate databases, ensuring that all data is accurately categorized by type and that all necessary information is recorded....",59202.0,0
224,5713,Portland,"Portland, OR",Business Intelligence Developer - Pharmacy,Oregon Health & Science University,"Data Warehouse modeling using ER Studio; Solution development will follow the OHSU software development methodology and adhere to data governance, data security...",102319.5,1
225,5774,Portland,"Vancouver, WA 98660 (Carter Park area)",Field Application Engineer,Strategic IT Staffing,"Bachelor's degree in computer science, electrical engineering, or related field*. The company has invented a data fabric offering switch-free, multiple path,...",120000.0,1
226,5797,Portland,"Portland, OR",Donation Coordinator (various shifts),"MedCure, Inc.",MedCure employees represent a leading organization that provides quality services to the medical science community....,33500.0,0
227,5798,Portland,"Hillsboro, OR",Data Analyst (KM 17596),Swoon Technology Resources,"Expertise designing, implementing, and optimizing data ingest ETL within a big data architecture. Some experience with a data science oriented computer language...",65000.0,0
228,5804,Portland,"Portland, OR",Research Assistant,Portland VA Research Foundation,Biological sciences Psychological/Neurological sciences. Ability and willingness to work both independently and with other lab members to perform rodent...,33000.0,0
229,5810,Portland,"Portland, OR",Linux System Administrator Portland OR,Generic Network Systems,Degree in Computer Science or science-related field. We are looking for a Unix Systems Administrator who will work in our fast paced team environment providing...,87500.0,1
230,5828,Portland,"Hillsboro, OR 97124",Automation Engineer,Intel Corporation,"Databases and Data Mining; Master’s degree in Computer Science & Systems, Management Information Systems, Information Technology or related IT/Programming,...",116667.0,1
231,5830,Portland,"Portland, OR",Stewardship Director,Columbia Slough Watershed Council,"Bachelor’s Degree in ecology, environmental science, or related field. Experience with data collection and Microsoft Excel or other spreadsheet programs....",37000.0,0
232,5835,Portland,"Beaverton, OR",Manager of SQL Production Data Services to lead SQL Development Team,DTI / Epiq Systems,Data Analyst Management:. The Data Services Manager oversees a team of approximately 20 Data Analysts / SQL Developers who develop the underlying software that...,100000.0,1
233,5837,Portland,"Beaverton, OR 97006 (Triple Creek area)",Corporate Account Manager,Acumen Executive Search,Our client culture is a sales environment where technology and science rule. Provide monthly tracking of existing orders and historical data on shipments for...,100000.0,1
234,5839,Portland,"Portland, OR",Lead Web Application Engineer-Cloud Environment,iiTS,"Bachelor's degree in Computer Science, Information Systems, Business, or other relevant subject area • Minimum 5 years of technical experience • Experience...",130000.0,1
235,5849,Portland,"Portland, OR 97223",Infrastructure Systems Engineer,Triad Technology Group,"Bachelor’s degree in Computer Science or related field preferred; Working within a team, this position is responsible for maintaining and evolving systems...",85000.0,1
236,5873,Seattle,"Seattle, WA","Senior Analyst/Consultant, Countrywide Analytics - US Consumer Markets",Liberty Mutual,"Broad proficiency in Excel (VBA, macros, scripts, formulas, data visualization, etc.), PowerPoint, and statistical software packages (e.g....",109550.0,1
237,5898,Seattle,"Seattle, WA",ASSISTANT PERMITS ADMINISTRATOR,Sound Transit,"Preparing and analyzing data and reports. Architectural, urban planning, environmental science, engineering, structural and other disciplines....",75540.5,1
238,5923,Seattle,"Seattle, WA",Artificial Intelligence AI Consultant,Scott L Page & Associates,"Bachelor's degree in Computer Science, Engineering, Technical Science or 4 years of IT/Programming experience. Familiarity with No SQL databases, bot framework,...",110000.0,1
239,5927,Seattle,"Seattle, WA",RESEARCH STUDY COORDINATOR 1,University of Washington,Experience managing data. Use statistical and database management programs to prepare data for analysis and assist in preparing data summary....,39564.0,0
240,5930,Seattle,"Seattle, WA",Research & Policy Team Lead,Seiu Local 775,"A minimum of a Masters degree in a field such as economics,business, public policy, or a social science....",77500.0,1
241,5933,Seattle,"Seattle, WA",Regulatory Compliance Specialist - Marine Maintenance,Port of Seattle,Associate’s degree in Environmental Science or related field; Experience in environmental data and reporting and technical writing;...,71815.5,0
242,5935,Seattle,"Seattle, WA",RESEARCH STUDY COORDINATOR 1,University of Washington Medical Center,Experience managing data. Use statistical and database management programs to prepare data for analysis and assist in preparing data summary....,39564.0,0
243,5940,Seattle,"Seattle, WA","Assistant Director/Director, Countrywide Analytics - US Consumer Markets",Liberty Mutual,"Broad proficiency in Excel (VBA, macros, scripts, formulas, data visualization, etc.), PowerPoint, and statistical software packages (e.g....",137750.0,1
244,5986,Seattle,"Seattle, WA",RESEARCH STUDY ASSISTANT,University of Washington,"Provide real-time monitoring of data collection; Provide graphic, written and oral summaries of data. Assist PI in evaluation of experimental findings by...",35526.0,0
245,5996,Seattle,"Seattle, WA",Assistive Technology Specialist / ITS3 (02610),State of Washington,Please blackout any personally identifiable data such as social security numbers. A Bachelor's degree including 9 semester or 15 quarter hours of computer...,59820.0,0
246,5997,Seattle,"Seattle, WA",SUPPLY CHAIN APPLICATIONS ANALYST,University of Washington Medical Center,Experience with SQL database and data analytics. Perform periodic data scrubbing activities to maintain the integrity of the item master....,62316.0,0
247,5999,Seattle,"Seattle, WA","Program Assistant, Arts, Humanities, and Social Sciences",Seattle Community Colleges,"The program assistant is a full-time position performing duties specific to the Arts, Humanities, and Social Sciences Division....",31890.0,0
248,6014,Seattle,"Seattle, WA",Senior IT Auditor I,Liberty Mutual,Focuses on the use of data analytics for full population testing. Requires in-depth IT Audit skills as typically acquired though a Bachelor's degree in Computer...,91900.0,1
249,6036,Seattle,"Renton, WA 98058",Associate Planner - Long Range Planning,City of Renton,"Collect, analyze and interpret planning data. Research methodology as applied to the collection and analysis of planning data....",73842.0,1
250,6043,Seattle,"Seattle, WA","Sr. Analyst, Advanced Analytics",Liberty Mutual,"Mathematics, Statistics, Actuarial Science, Economics, Business or Finance; Advanced knowledge of data sources, tools, statistical principles and methodologies....",96450.0,1
251,6064,Seattle,"Seattle, WA",RESEARCH STUDY ASSISTANT,University of Washington Medical Center,"Provide real-time monitoring of data collection; Provide graphic, written and oral summaries of data. Assist PI in evaluation of experimental findings by...",35526.0,0
252,6075,Seattle,"Seattle, WA",Business Systems Analyst,Seattle Pacific University,Control data system access permissions and privileges. Familiarity with enterprise data systems and their operation....,77500.0,1
253,6083,Seattle,"Seattle, WA",Technology Support Specialist Lead,Seattle Public Schools,Bachelor's degree in computer science or related field. Represents information and data accurately and completely....,92379.0,1
254,6087,Seattle,"Seattle, WA","Deputy Director of Client Service (Executive 3, Exempt)",City of Seattle,"Bachelor's Degree in computer science, business, information technology, or a closely related field. As home to one of the nation's largest technology...",153750.0,1
255,6119,Seattle,"Seattle, WA 98134 (Industrial District area)",EEO/AA Diversity and Inclusion Manager - Transit,King County,"Skill in gathering, analyzing and synthesizing data; A bachelor's degree in human resources management, one of the social or behavioral sciences, business or...",112850.5,1
256,6178,Seattle,"Seattle, WA",CLINICAL LABORATORY TECHNICIAN 2,University of Washington Medical Center,"Associates or bachelor degree in science. This individual will sort and prioritize initial specimens and requests, centrifuge and aliquot appropriate specimen...",45750.0,0
257,6211,Seattle,"Seattle, WA",Commerce Specialist 2 [01466],State of Washington,"Apply data validation criteria; Consolidate data and link workbooks; Analyze data using trend lines, Sparklines and scenarios....",51600.0,0
258,6216,Seattle,"Seattle, WA",Analytics & Software Engineer Manager,All-In Analytics,"Digital advertising, software development, advertising analytics, reporting, Hadoop, Hbase, Redshift, EC2, EMR, data processing algorithms, NLP, Big Data,...",175000.0,1
259,6240,Seattle,"Seattle, WA",Washington Middle School - Science Teacher - 1.0 FTE,Seattle Public Schools,Collects and interprets a variety of data; A classroom teacher fosters and enhances an effective learning environment;...,71054.0,0
260,6280,Seattle,"Seattle, WA",Environmental Compliance Coordinator,King County,Facility Engineering and Science Unit Profile:. Skill in analyzing and interpreting technical data. A bachelor's degree in environmental science or related...,93350.0,1
261,6301,Seattle,"Seattle, WA",Sr. Expense Analyst,Liberty Mutual,"Accounting, Business or Finance, Economics, Actuarial Science, or Mathematics. Knowledge of how to leverage large amounts of data and technology....",87951.0,1
262,6325,Austin,"Austin, TX",Systems Analyst V (PMO Business Analyst)...,Texas Education Agency,"Observational skills, to validate data obtained via other techniques and expose new areas for elicitation; Graduation from an accredited four year college or...",77862.0,1
263,6326,Austin,"Austin, TX",Research Engineering/ Scientist Assistant,University of Texas at Austin,Assist with data collection and processing. Bachelor of Science or Bachelor of Arts degree. Ability to quantitatively analyze data and present qualitative and...,33756.0,0
264,6329,Austin,"Austin, TX",Data Base Administrator III,Health & Human Services Comm,"Skilled in applying data modeling methodologies, data conversion techniques and creating and modifying data base structures....",68046.0,0
265,6330,Austin,"Austin, TX",Librarian II - GIS and Geospatial Data Coordinator,University of Texas at Austin,"Graduate degree in GIS, computer science, geography, geology, social sciences or related field; Significant relevant experience in GIS, computer science,...",65004.0,0
266,6350,Austin,"Austin, TX",Engineering Scientist - GPS Data Analyst,University of Texas at Austin,"Significant professional experience in data analysis software development and interpreting, characterizing and reporting data processing results....",102498.0,1
267,6359,Austin,"Austin, TX",Senior Investigative Data Analyst,Health & Human Services Comm,"The Senior Investigative Data Analyst (Program Specialist VII) provides key data research, analytics, and leadership functions for the Data Analytics...",73200.0,1
268,6360,Austin,"Austin, TX",Business Analyst II,Travis County,"Researches departmental data and recommends effective use of business information. Bachelor's degree in Computer Science, Information Systems, Business...",67460.0,0
269,6375,Austin,"Austin, TX 78759 (Arboretum area)",Computer Scientist/Software Engineer,"Signature Science, LLC","BS in Computer Science or Equivalent; Familiarity with life science disciplines (e.g., biology, chemistry)....",79000.0,1
270,6379,Austin,"Austin, TX","Administrative Assistant IV, OIG - Austin",Texas Department of Public Safety,"Graduation from an accredited four-year college or university with a major or coursework emphasis in liberal arts, business or public administration, social...",42510.0,0
271,6388,Austin,"Austin, TX",Telecommunications Specialist,Health & Human Services Comm,In-depth knowledge of voice telecommunications and telephone systems including networking principles and voice communications over data networks (VoIP)....,68046.0,0
272,6398,Austin,"Austin, TX",Director II - Director of Program Evaluation and Research,University of Texas at Austin,"Experience with large, confidential data warehouses such as the ERC. In research related to educational psychology or mathematics or science education....",99996.0,1
273,6423,Austin,"Austin, TX",Associate Business Contract Administrator,University of Texas at Austin,"Juris Doctor, Paralegal Certification, or undergraduate education in Information Systems, Computer Science or other relevant area, or legal studies, and 2 years...",45756.0,0
274,6463,Austin,"Austin, TX",Training Specialist IV,Dept of State Health Services,"Analyze and interpret data. Graduation from an accredited four-year college or university with major course work in social work, behavioral science, health care...",48924.0,0
275,6472,Austin,"Austin, TX",Information Technology Security Analyst I - II,Health & Human Services Comm,Performs assessments to facilitate the classification of data that is being processed through the agency's automated systems....,83298.0,1
276,6479,Austin,"Austin, TX 78759 (Arboretum area)",Software Developer Protein Analytics,"Signature Science, LLC","In relevant field, such as Biochemistry, Bioinformatics, Biophysics, Computer Science, Statistics, Data Science, Chemistry, Bioengineering, or Biology....",81000.0,1
277,6486,Austin,"Austin, TX",Medical Technologist III,Dept of State Health Services,Assists with the evaluation and interpretation of highly complex data. Completes proper record keeping and documentation involved with data evaluation and...,39288.0,0
